Club|Last Name|First Name|Pos|Base Salary|Compensation|year
Chicago Fire|Hasler|Nicolas|D-M|132000|147666.67|2018
New England Revolution|Hauche|Guillermo|M-F|120000|135000|2018
DC United|Fisher|Oniel|D-M|68906.25|68906.25|2018
Montreal Impact|Fisher|Kyle|D|55654.2|55654.2|2018
Portland Timbers|Flores|Andres|M|67500|67500|2018
Philadelphia Union|Fontana|Anthony|M|65004|73421.6|2018
Sporting Kansas City|Fontas|Andreu|D|999999.96|999999.96|2018
Colorado Rapids|Ford|Kortne|D|82500|89500|2018
New York Red Bulls|Fouapon|Hassan Ndam|D|54504|54504|2018
Seattle Sounders FC|Francis|Waylon|D|165000|196041.67|2018
Vancouver Whitecaps|Franklin|Sean|D|150000|150000|2018
Toronto FC|Fraser|Liam|M|67500|72500|2018
Sporting Kansas City|Freeman|Tyler|F|55200|67700|2018
Seattle Sounders FC|Frei|Stefan|GK|250000.08|262500.08|2018
Houston Dynamo|Fuenmayor|Alejandro|D|85008|112508|2018
San Jose Earthquakes|Fuentes|Gilbert|M|69999.96|81999.96|2018
Philadelphia Union|Gaddis|Raymon|D|180000|182500|2018
Atlanta United|Gallagher|Jon|F|67500|68750|2018
Houston Dynamo|Garcia|Oscar Boniek|M|150000|165000|2018
Houston Dynamo|Garcia|Kevin|D|68915.07|68915.07|2018
Atlanta United|Garza|Greg|D|175008|175008|2018
Colorado Rapids|Gashi|Shkelzen|F|1575000|1668750|2018
Vancouver Whitecaps|Ghazal|Aly|M|575000.04|700566.71|2018
Houston Dynamo|Gil|Luis|M|67500|67500|2018
Toronto FC|Giovinco|Sebastian|F|5600000|7115555.67|2018
Orlando City SC|Giro|Victor|D-M|90000|95312.5|2018
Houston Dynamo|Elis|Alberth|F|650340|650340|2018
Philadelphia Union|Elliott|Jack|D|59629.5|59629.5|2018
DC United|Ellis|Kevin|D|150000|158333.33|2018
Orlando City SC|El-Mounir|Mohammed|D|174999.96|192833.29|2018
Vancouver Whitecaps|Emnes|Marvin|F|69996|159829.33|2018
Philadelphia Union|Epps|Marcus|M|55654.2|55654.2|2018
San Jose Earthquakes|Eriksson|Magnus|F|399999.96|399999.96|2018
Atlanta United|Escobar|Franco|D|250008|250008|2018
New York Red Bulls|Escobar|Fidel|D|145000.08|145000.08|2018
Sporting Kansas City|Espinoza|Roger|M|9e+05|9e+05|2018
New York Red Bulls|Etienne|Derrick|M|68500|73500|2018
Sporting Kansas City|Evans|Brad|D-M|200000.04|200000.04|2018
New England Revolution|Fagundez|Diego|M|170000|190000|2018
Montreal Impact|Fanni|Rod|D|1200000|1225000|2018
Portland Timbers|Farfan|Marco|D|64500|64500|2018
New England Revolution|Farrell|Andrew|D|182600|267600|2018
LAFC|Feilhaber|Benny|M|625000|625000|2018
San Jose Earthquakes|Felipe|Luis|M|67500|68500|2018
LA Galaxy|Feltscher|Rolf|D|240000|270000|2018
Sporting Kansas City|Fernandes|Gerso|F-M|550008|591258|2018
Minnesota United|Fernando|Luiz|M|275000.04|314166.71|2018
FC Dallas|Ferreira|Jesus|F|54500|54500|2018
FC Dallas|Figueroa|Maynor|D|240000|250000|2018
Minnesota United|Finlay|Ethan|M|375000|375000|2018
Toronto FC|Delgado|Marco|M|230000|230000|2018
Retired|Dempsey|Clint|F|1100000.04|1650000.04|2018
|DePuy|Nick|F|68254.2|75754.2|2018
Houston Dynamo|Deric|Tyler|GK|67500|67500|2018
Montreal Impact|Diallo|Zakaria|D|299250|343250|2018
Philadelphia Union|Dias|Ilson|M|3e+05|327000|2018
Sporting Kansas City|Dick|Eric|GK|54500.04|57949.58|2018
Sporting Kansas City|Didic|Amer|D|55654.2|55654.2|2018
New England Revolution|Dielna|Claude|D|780000|909861|2018
LAFC|Diomande|Adama|F|849999.96|934999.96|2018
Montreal Impact|Diop|Clement|GK|90000|97290|2018
Philadelphia Union|Dockal|Borek|M|1714285.68|1714285.68|2018
Vancouver Whitecaps|Dominguez|Roberto|D|54504|61465.66|2018
Houston Dynamo|Donovan|Conor|D|54500.04|54500.04|2018
LA Galaxy|dos Santos|Giovani|F|4250000|6e+06|2018
LA Galaxy|dos Santos|Jonathan|M|2000000.04|2000000.04|2018
New York Red Bulls|Duncan|Kyle|D|54500.04|54500.04|2018
Toronto FC|Dunn|Julian|D|54500.04|54500.04|2018
DC United|Durkin|Chris|D-M|80000|89166.67|2018
Montreal Impact|Duvall|Chris|D|150000|150000|2018
Orlando City SC|Dwyer|Dom|F|1200000|1383333.33|2018
Colorado Rapids|Dykstra|Andrew|GK|100008|107658.51|2018
Portland Timbers|Ebobisse|Jeremy|F|140000|203000|2018
Chicago Fire|Edwards|Raheem|F|55654.2|55654.2|2018
Orlando City SC|Edwards|Earl|GK|68250|68250|2018
Chicago Fire|Corrales|Jorge|D|67500|67500|2018
Philadelphia Union|Creavalle|Warren|M|140000|153000|2018
Montreal Impact|Crepeau|Maxime|GK|80000|84083.33|2018
Columbus Crew|Crognale|Alex|D|95004|95004|2018
Sporting Kansas City|Croizet|Yohan|M|650004|680004|2018
Minnesota United|Cronin|Sam|M|141660|208761.33|2018
New England Revolution|Cropper|Cody|GK|73828.13|73828.13|2018
San Jose Earthquakes|Cummings|Harold|D|249996|300662.67|2018
LAFC|Czornomaz|Nicolas|M|67500|71250|2018
Colorado Rapids|da Fonte|Mike|D|67500|67500|2018
Houston Dynamo|Da Silva|Leonardo|D|157504.5|165171.17|2018
Minnesota United|da Silva|Ibson|M|3e+05|317083.33|2018
Orlando City SC|Da Silva|Pierre|M|54504|54504|2018
Toronto FC|Daniels|Aidan|M|54500.04|54500.04|2018
Minnesota United|Danladi|Abu|F|135000|186000|2018
Vancouver Whitecaps|Davies|Alphonso|M|72500|72500|2018
New York Red Bulls|Davis|Sean|M|225000|261666.67|2018
Vancouver Whitecaps|de Jong|Marcel|D-M|150000|164500|2018
Chicago Fire|de Leeuw|Michael|F|525000|589212.5|2018
Columbus Crew|de Lima|Artur|M|210000|244166.67|2018
Chicago Fire|Dean|Christian|D|90000|93125|2018
Chicago Fire|Del Grecco|Nicolas|D|90000|91125|2018
Houston Dynamo|DeLaGarza|AJ|D|200000.04|207500.04|2018
Seattle Sounders FC|Delem|Jordy|M|67500|67500|2018
DC United|DeLeon|Nick|M|275000|275000|2018
Portland Timbers|Cascante|Julio|D|150000|150000|2018
New York Red Bulls|Casseres|Cristian|M|69999.96|108749.96|2018
New York City FC|Castellanos|Valentin|M|150000|181008.07|2018
Colorado Rapids|Castillo|Edgar|D|99996|129996|2018
Houston Dynamo|Ceren|Darwin|M|225000|274375|2018
FC Dallas|Chala|Anibal|D|3e+05|383000|2018
New York City FC|Chanot|Maxime|D|375000|408000|2018
Toronto FC|Chapman|Jay|M|99000|117500|2018
Portland Timbers|Chara|Diego|M|550000|572000|2018
Seattle Sounders FC|Chenkam|Felix|F|54500.04|54500.04|2018
Montreal Impact|Choiniere|David|M|67500|67500|2018
Montreal Impact|Choiniere|Mathieu|M|54500.04|59441.04|2018
LA Galaxy|Ciani|Michael|D|6e+05|620000|2018
Columbus Crew|Clark|Ricardo|M|125000.04|125000.04|2018
Portland Timbers|Clark|Steve|GK|120000|130000|2018
Chicago Fire|Cleveland|Stefan|GK|55654.2|55654.2|2018
LA Galaxy|Cole|Ashley|D|450000|722499.98|2018
Chicago Fire|Collier|Elliot|F|54500.04|54500.04|2018
New York Red Bulls|Collin|Aurelien|D|450000|450000|2018
FC Dallas|Colman|Cristian|F|500000.04|585000.04|2018
Orlando City SC|Colman|Josue|M|150000|150000|2018
Colorado Rapids|Colvey|Kip|D|67500|67500|2018
Vancouver Whitecaps|Colyn|Simon|M|54499.92|60749.92|2018
Portland Timbers|Conechny|Tomas|M-F|150000|166666.67|2018
Chicago Fire|Conner|Drew|M|68907.3|68907.3|2018
Seattle Sounders FC|Bruin|Will|F|350000|351666.67|2018
New England Revolution|Bunbury|Teal|F|215000.04|260000.04|2018
Minnesota United|Burch|Marc|D|140004|140004|2018
Philadelphia Union|Burke|Cory|F|67500|71223.75|2018
Montreal Impact|Bush|Evan|GK|157925|157925|2018
Sporting Kansas City|Busio|Gianluca|F|80004|82504|2018
Seattle Sounders FC|Bwana|Handwalla|M|54500.04|54500.04|2018
New England Revolution|Bye|Brandon|D|54500.04|57760.82|2018
Houston Dynamo|Cabezas|Juan|M|255156|279156|2018
Montreal Impact|Cabrera|Victor|D|270000|270000|2018
New England Revolution|Caicedo|Luis Alberto|M|3e+05|3e+05|2018
New England Revolution|Caldwell|Scott|M|129375|139375|2018
New York City FC|Caldwell|Jeff|GK|54500.04|54500.04|2018
New York City FC|Callens|Alexander|D|500000.04|564000.04|2018
Colorado Rapids|Calvert|Caleb|F|105000|105000|2018
San Jose Earthquakes|Calvillo|Eric|M|99999.96|114999.96|2018
Minnesota United|Calvo|Francisco|D|450000|522600|2018
Montreal Impact|Camacho|Rudy|D|650000.04|699152.54|2018
Chicago Fire|Campbell|Jonathan|D|120175|128300|2018
Chicago Fire|Campos|Diego|M|54500.04|54500.04|2018
FC Dallas|Cannon|Reggie|D|67500|67500|2018
FC Dallas|Cano|Jordan|D|54500.04|54500.04|2018
DC United|Canouse|Russell|M|247500|247500|2018
Atlanta United|Carleton|Andrew|F|75000|87400|2018
LA Galaxy|Carrasco|Servando|M|67500|67500|2018
Colorado Rapids|Blomberg|Johan|M|239808|239808|2018
Vancouver Whitecaps|Blondell|Anthony|F|249999.96|295203.21|2018
LA Galaxy|Boateng|Emmanuel|F|130000|130000|2018
Colorado Rapids|Boli|Yannick|F|774999.96|907499.96|2018
Toronto FC|Bono|Alex|GK|132000|164000|2018
Minnesota United|Boxall|Michael|D|250008|267341.33|2018
Toronto FC|Bradley|Michael|M|6e+06|6500000|2018
LAFC|Brewer|Shaft|M|54500.04|56166.71|2018
DC United|Brillant|Frederic|D|264999.96|299999.96|2018
Chicago Fire|Bronico|Brandt|M|68254|68254|2018
Seattle Sounders FC|Brown|Calle|GK|67500|67500|2018
Montreal Impact|Beaulieu|Jason|GK|54500.04|54500.04|2018
Real Salt Lake|Beckerman|Kyle|M|505008|530008|2018
New York City FC|Bedoya|Daniel|M|54500.04|54500.04|2018
Philadelphia Union|Bedoya|Alejandro|M|1200000|1266250|2018
LAFC|Beitashour|Steven|D|275000.04|298375.04|2018
Montreal Impact|Beland-Goyette|Louis|M|54500|55750|2018
Atlanta United|Bello|George|D|67500|71500|2018
Sporting Kansas City|Belmar|Kharlton|F|68254.2|68254.2|2018
Real Salt Lake|Beltran|Tony|D|230000|240950|2018
Orlando City SC|Bendik|Joe|GK|180000|189083.4|2018
New York City FC|Berget|Jo Inge|F|6e+05|816666.67|2018
San Jose Earthquakes|Bersano|Matt|GK|68254.2|68254.2|2018
Real Salt Lake|Besler|Nick|M|67500|67500|2018
Sporting Kansas City|Besler|Matt|D|750000|783250|2018
Vancouver Whitecaps|Bevan|Myer|F|54500.04|54500.04|2018
New York Red Bulls|Bezecourt|Vincent|M|67500|69921.4|2018
LA Galaxy|Bingham|David|GK|275000.04|275000.04|2018
Houston Dynamo|Bird|Eric|M|67500|67500|2018
DC United|Birnbaum|Steven|D|500004|525004|2018
LAFC|Blackmon|Tristan|D|67500|70233.92|2018
Philadelphia Union|Blake|Andre|GK|450000|5e+05|2018
Portland Timbers|Blanco|Sebastian|M|1300008|1375008|2018
LAFC|Blessing|Latif|F|75000|84375|2018
LA Galaxy|Arellano|Hugo|D|75000|82573.75|2018
Columbus Crew|Argudo|Luis|M|54500.04|54500.04|2018
Portland Timbers|Armenteros|Samuel|F|6e+05|608333.33|2018
DC United|Arriola|Paul|M|624999.96|663999.96|2018
DC United|Asad|Yamil|M|436363.56|520522.65|2018
Orlando City SC|Ascues|Carlos|D|360000|391500|2018
Portland Timbers|Asprilla|Dairon|F-M|180000|193750|2018
Portland Timbers|Attinella|Jeff|GK|114999.96|123999.96|2018
FC Dallas|Atuahene|Francis|F|124999.92|168999.92|2018
LAFC|Atuesta|Eduard|M|450000|468000|2018
Toronto FC|Auro||D|200004|272504|2018
New York City FC|Awuah|Kwame|D-M|55654.2|55654.2|2018
Montreal Impact|Azira|Michael|M|125000|131625|2018
FC Dallas|Badji|Dominique|F|162500.04|168750.04|2018
Real Salt Lake|Baird|Corey|F|54504|54504|2018
Toronto FC|Bakero|Jon|F|84999.96|101374.96|2018
Vancouver Whitecaps|Baldisimo|Michael|M|54500.04|116471.59|2018
Atlanta United|Barco|Ezequiel|M|1425000|1425000|2018
Portland Timbers|Barmby|Jack|M|68256|68256|2018
Colorado Rapids|Barnes|Giles|F-M|200000.04|200000.04|2018
FC Dallas|Barrios|Michael|M|400000.08|400000.08|2018
Real Salt Lake|Barry|Shawn|D|131250|131250|2018
Colorado Rapids|Bassett|Cole|M|60000|69000|2018
Houston Dynamo|Beasley|DaMarcus|D|275004|275004|2018
Vancouver Whitecaps|Aja|Jose|D|240000|240000|2018
San Jose Earthquakes|Akanyirige|Jacob|D|54500.04|56500.04|2018
Toronto FC|Aketxe Barrutia|Ager|M|1190000.04|1295000.04|2018
FC Dallas|Akindele|Tesho|F-M|105000|122500|2018
Toronto FC|Akinola|Ayo|F|54504|140504|2018
FC Cincinnati|Alashe|Fatai|M|107992.5|124242.5|2018
LA Galaxy|Alessandrini|Romain|M|1539996|1869996|2018
Houston Dynamo|Alexander|Eric|M|260004|260004|2018
Seattle Sounders FC|Alfaro|Tony|D|67500|67500|2018
Orlando City SC|Allen|RJ|D|90000|90000|2018
Real Salt Lake|Allen|Jordan|M|225000|225000|2018
Atlanta United|Almiron|Miguel|M|1912500|2297000|2018
Seattle Sounders FC|Alonso|Osvaldo|M|1100000.04|1141667.04|2018
Toronto FC|Altidore|Jozy|F|5e+06|5e+06|2018
Houston Dynamo|Alvarez|Arturo|M|150000|157500|2018
LA Galaxy|Alvarez|Efrain|M|67500|72233.84|2018
Philadelphia Union|Alves Macedo|Fabinho|D|153000|153000|2018
New York City FC|Amagat|Eloi|M|240000|261250|2018
Montreal Impact|Amarikwa|Quincy|F|275500|289166.67|2018
Atlanta United|Ambrose|Mikey|D|68906.25|68906.25|2018
DC United|Andriuskevicius|Vytautas|D|250000|271875|2018
New England Revolution|Angking|Isaac|M|67500|72500|2018
New England Revolution|Anibaba|Jalil|D|90000|90000|2018
FC Dallas|Aranguiz|Pablo|M|399999.96|459999.96|2018
Portland Timbers|Arboleda|Victor|F-M|54499.92|54499.92|2018
New York Red Bulls|Abang|Anatole|F|68927|68927|2018
New York City FC|Abdul-Salaam|Saad|D|106480|120230|2018
Columbus Crew|Abu|Mohammed|M|175008|181258|2018
Columbus Crew|Abubakar|Lalas|D|68250.04|75750.04|2018
Philadelphia Union|Accam|David|F-M|1250000.04|1250000.04|2018
Colorado Rapids|Acosta|Kellyn|M|280000|3e+05|2018
DC United|Acosta|Luciano|F-M|550000|652000|2018
Real Salt Lake|Acosta|Danilo|M|1e+05|1e+05|2018
Chicago Fire|Adams|Mohammed|M|90000|125000|2018
New York Red Bulls|Adams|Tyler|M|1e+05|146041.67|2018
FC Cincinnati|Adi|Fanendo|F|1275000|1933333.33|2018
Colorado Rapids|Adjei-Boateng|Nana|M|320004|361250|2018
San Jose Earthquakes|Affolter|Francois|D|200000.04|232650.04|2018
Columbus Crew|Afful|Harrison|D|288099.96|363799.96|2018
New England Revolution|Agudelo|Juan|F|575000|602500|2018
FC Dallas|Aguilar|Abel|M|272727.24|328127.24|2018
NYRB|Abang|Anatole|F|65625|65625|2017
KC|Abdul-Salaam|Saad|D|96800|110550|2017
CLB|Abu|Mohammed|M|165000|171250|2017
CLB|Abubakar|Alhassan "Lalas"|D|65000.04|72500.04|2017
CHI|Accam|David|F-M|750000|820937.5|2017
DAL|Acosta|Kellyn|M|260000|280000|2017
DC|Acosta|Luciano|M-F|5e+05|602000|2017
RSL|Acosta|Danilo|M|65625|65625|2017
NYRB|Adams|Tyler|M|75000|91041.67|2017
SEA|Adekoya|Seyi|F|53004|53004|2017
VAN|Adekugbe|Samuel|D|80000|85000|2017
POR|Adi|Fanendo|F|1190004|1736254|2017
COL|Adjei-Boateng|Bismark|M|3e+05|341246|2017
SJ|Affolter|Francois|D|120000|154250|2017
CLB|Afful|Harrison|D|280000|296666.67|2017
NE|Agudelo|Juan|F|475000|502500|2017
COL|Aigner|Stefan|M|425000.04|470885.46|2017
ORL|Aja|Jose|D|216000|216000|2017
DAL|Akindele|Tesho|F-M|95000|112500|2017
SJ|Alashe|Fatai|M|98175|114425|2017
PHI|Alberg|Roland|M|345000|394250|2017
LA|Alessandrini|Romain|M|1669400.64|1999400.64|2017
HOU|Alexander|Eric|M|190000|203750|2017
SEA|Alfaro|Tony|D|54075|54075|2017
MNUFC|Allen|Brandon|F|65625|65625|2017
NYCFC|Allen|RJ|D|100000.08|101666.75|2017
RSL|Allen|Jordan|M|178000|178000|2017
ATL|Almiron|Miguel|M|1912500|2297000|2017
SEA|Alonso|Osvaldo|M|1100000.04|1141667.04|2017
TOR|Alseth|Oyvind|M-D|53004|53004|2017
ORL|Alston|Kevin|D|135000|135000|2017
TOR|Altidore|Jozy|F|4875000|4875000|2017
CHI|Alvarez|Arturo|M|135000|142500|2017
LAFC|Alvarez|Carlos|M|65004|65004|2017
SJ|Amarikwa|Quincy|F|256500|270166.67|2017
ATL|Ambrose|Mikey|D|65625|65625|2017
POR|Andriuskevicius|Vytautas|D|222500|244375|2017
NE|Angoua|Benjamin|D|6e+05|654333.33|2017
HOU|Anibaba|Jalil|D|110004|110004|2017
MNUFC|Anor|Bernardo|M|105000|105000|2017
POR|Arboleda|Victor|M-F|65000.04|65000.04|2017
LA|Arellano|Hugo|D|65000|72375|2017
POR|Arokoyo|Gbenga|D|135000|155600|2017
DC|Arriola|Paul|M|336000|350000|2017
CHI|Arshakyan|David|F|156000|178850|2017
ATL|Asad|Yamil|M|150000|150000|2017
POR|Asprilla|Dairon|M-F|138000|138000|2017
POR|Attinella|Jeff|GK|1e+05|105083.33|2017
TOR|Aubrey|Brandon|D|75000|93750|2017
NYCFC|Awuah|Kwame|D-M|53004|53004|2017
PHI|Ayuk|Eric|M|65625|65625|2017
COL|Azira|Michael|M|110000|116625|2017
NYRB|Baah|Gideon|D|230000|315500|2017
COL|Badji|Dominique|F|65000|65000|2017
POR|Barmby|Jack|M-F|65004|65004|2017
ORL|Barnes|Giles|F-M|725000|781250|2017
SJ|Barrera|Leandro|F|1e+05|1e+05|2017
RSL|Barrett|Chad|F|99000|105000|2017
DAL|Barrios|Michael|M|200000.04|200000.04|2017
ORL|Barry|Hadji|F|68750|73312.5|2017
NYRB|Basuljevic|Arun|M|53004|53004|2017
CHI|Bava|Jorge Rodrigo|GK|240000|267133.34|2017
HOU|Beasley|DaMarcus|D|316008|351008|2017
RSL|Beckerman|Kyle|M|750000|825000|2017
PHI|Bedoya|Alejandro|M|1131000|1197250|2017
TOR|Beitashour|Steven|D|250000|264000|2017
MTL|Beland Goyette|Louis|M|53000|54250|2017
KC|Belmar|Kharlton|F|65004|65004|2017
RSL|Beltran|Anthony|D|220000|230950|2017
ORL|Bendik|Joe|GK|165000|174083.4|2017
MTL|Bernardello|Hernan|M|288000|288000|2017
SJ|Bernardez|Victor|D|225000|266600|2017
COL|Berner|John|GK|66150|66150|2017
MTL|Bernier|Patrice|M|165000|165000|2017
SJ|Bersano|Matt|GK|65004|65004|2017
KC|Besler|Matt|D|725000|758250|2017
RSL|Besler|Nick|M|53000.04|53000.04|2017
NYRB|Bezecourt|Vincent|M|53004|53004|2017
SJ|Bingham|David|GK|190000|197750|2017
DC|Birnbaum|Steven|D|474996|499996|2017
MTL|Bitolo Oyongo|Ambroise|D|1e+05|1e+05|2017
PHI|Blake|Andre|GK|148500|186500|2017
POR|Blanco|Sebastian|M|1000008|1075008|2017
KC|Blessing|Latif|F|65004|74379|2017
ATL|Bloom|Mark|D|99225|106573.89|2017
LA|Boateng|Emmanuel|F|115000|115000|2017
VAN|Bolanos|Christian|M|250000|253500|2017
MTL|Boldor|Deian|D|324000|324000|2017
TOR|Bono|Alex|GK|70000|90200|2017
ATL|Boswell|Bobby|D|260000|260000|2017
MNUFC|Boxall|Michael|D|225000|242333.33|2017
TOR|Bradley|Michael|M|6e+06|6500000|2017
NYCFC|Brilliant|Frederic|D|280000|319666.67|2017
CHI|Bronico|Brandt|M|65004|65004|2017
DC|Brown|Deshorn|F|264996|337329.33|2017
HOU|Brown|Calle|GK|65000|65000|2017
SEA|Bruin|Will|F|325000|326666.67|2017
DC|Buescher|Julian|M|80000|94700|2017
NE|Bunbury|Teal|F|215000|260000|2017
MNUFC|Burch|Marc|D|135000|135000|2017
COL|Burling|Bobby|D|120000|152000|2017
MTL|Bush|Evan|GK|136750|136750|2017
KC|Busio|Gianluca|F|53004|55504|2017
VAN|Bustos|Marco|M|65625|70475|2017
HOU|Cabezas|Juan David|M|243000|267000|2017
MTL|Cabrera|Victor|D|260000|260000|2017
NE|Caldwell|Scott|M|115000|125000|2017
CHI|Calistri|Joey|M|54075|54075|2017
NYCFC|Callens|Alexander|D|180000|203333.33|2017
COL|Calvert|Caleb|F|1e+05|107500|2017
MNUFC|Calvo|Francisco|D|3e+05|330843.63|2017
MTL|Camara|Hassoun|D|255000|255000|2017
NYCFC|Camargo|Miguel|M|99999.96|108249.96|2017
TOR|Camargo|Sergio|M|65004|65004|2017
CHI|Campbell|Jonathan|D|101750|109875|2017
DAL|Cannon|Reggie|D|53000.04|53000.04|2017
DC|Canouse|Russell|M|65000.04|65000.04|2017
ATL|Carleton|Andrew|M-F|65000|77400|2017
ATL|Carmona|Carlos|M|675000|725000|2017
ORL|Carrasco|Servando|M|114996|114996|2017
PHI|Carroll|Brian|M|132000|140000|2017
COL|Castillo|Dennis|D|54075|54075|2017
SJ|Cato|Cordell|D-M|137000|138666.67|2017
SJ|Ceren|Darwin|M|2e+05|249375|2017
DAL|Cermeno|Carlos|M|120000|123000|2017
DAL|Chala|Anibal|D|250000.08|333000.08|2017
NYCFC|Chanot|Maxime|D|350000|383000|2017
TOR|Chapman|Jay|M|90000|108500|2017
POR|Chara|Diego|M|5e+05|522000|2017
TOR|Cheyrou|Benoit|M|65004|65004|2017
MTL|Choiniere|David|M|54075|54075|2017
LA|Ciani|Michael|D|6e+05|620000|2017
MTL|Ciman|Laurent|D|630000|661666.67|2017
DC|Clark|Steven|GK|72000|72000|2017
HOU|Clark|Ricardo|M|335160|372660|2017
POR|Clarke|Rennico|D|53004|58004|2017
CHI|Cleveland|Stefan|GK|53004|53004|2017
LA|Cole|Ashley|D|350000|377625|2017
NYRB|Collin|Aurelien|D|450000|450000|2017
DAL|Colman|Cristian|F|3e+05|385000|2017
SJ|Colvey|Kip|D|54075|54075|2017
CHI|Conner|Drew|M|65625|65625|2017
TOR|Cooper|Armando|M|189000|202333.33|2017
CHI|Corrales|Jorge|D|65004|65004|2017
DAL|Cortes|Eduardo|GK|65004|65004|2017
DAL|Craft|Coy|F-M|85000|102083.33|2017
PHI|Creavalle|Warren|M|125000|138000|2017
MTL|Crepeau|Maxime|GK|75000|79083.33|2017
CLB|Crognale|Alex|D|84996|84996|2017
MNUFC|Cronin|Sam|M|3e+05|324750|2017
NE|Cropper|Cody|F|65625|65625|2017
SJ|Cummings|Harold|D|249996|300662.67|2017
COL|Da Fonte|Mike|D|65004|65004|2017
HOU|Da Silva|Leonardo|D|140004|147670.67|2017
ORL|Da Silva|Pierre|M|53004|53004|2017
MNUFC|Danladi|Abu|F|125000.04|176000.04|2017
PHI|Davies|Charlie|F|108960|114684.94|2017
VAN|Davies|Alphonso|M|65000|65000|2017
MNUFC|Davis|Justin|D|80000|89750|2017
NYRB|Davis|Sean|M|110000|127500|2017
SJ|Dawkins|Simon|M|8e+05|8e+05|2017
VAN|de Jong|Marcel|D-M|140000|140000|2017
CHI|De Leeuw|Michael|F|5e+05|564212.5|2017
CLB|De Lima Junior|Artur|M|80004|99879|2017
MNUFC|De Villardi|Thomas|D|53004|53004|2017
CHI|Dean|Christian|D|90000|93125|2017
CHI|Dekovic|Matej|D|65004|65004|2017
HOU|DeLaGarza|AJ|D|250000|252500|2017
SEA|Delem|Jordy|M|53004|53004|2017
DC|DeLeon|Nick|M|255000|255000|2017
TOR|Delgado|Marco|M|210000|210000|2017
MNUFC|Demidov|Vadim|D|550008|555008|2017
SEA|Dempsey|Clint|F|3200000|3892933.5|2017
MTL|Depuy|Nick|F|65000.04|72500.04|2017
HOU|Deric|Tyler|GK|185000|185000|2017
LA|Diallo|Bradley|D|65004|65004|2017
DAL|Diaz|Mauro|M|784000|880890|2017
KC|Didic|Amer|D|53004|53004|2017
NE|Dielna|Claude|D|780000|909861|2017
LA|Diop|Clement|GK|65625|65625|2017
NYCFC|Diskerud|Mix|M|772669|772669|2017
MTL|Donadel|Marco|M|72000|257328|2017
ORL|Donovan|Conor|D|1e+05|128000|2017
CHI|Doody|Patrick|D|65000|65000|2017
LA|Dos Santos|Giovani|F|3750000|5500000|2017
LA|Dos Santos|Jonathan|M|2000000.04|2000000.04|2017
COL|Doyle|Kevin|F|1e+06|1045000|2017
NYRB|Duka|Dilly|M|175000|175000|2017
RSL|Dunk|Reagan|D|53004|53004|2017
DC|Durkin|Chris|D-M|70000|79166.67|2017
MTL|Duvall|Chris|D|70875|70875|2017
ORL|Dwyer|Dom|F|550000|668750|2017
KC|Dykstra|Andrew|GK|80004|87654.51|2017
MTL|Dzemaili|Blerim|M|750000|750000|2017
POR|Ebobisse|Jeremy|F|130000|173000|2017
VAN|Edgar|David|D|175000|183833.33|2017
PHI|Edu|Maurice|M|750000|818750|2017
ORL|Edwards|Earl|GK|65000|65000|2017
TOR|Edwards|Raheem|F|53004|53004|2017
HOU|Elis|Alberth|F|423000|423000|2017
PHI|Elliott|Jack|D|53004|53004|2017
KC|Ellis|Kevin|D|140004|148337.33|2017
TOR|Endoh|Tsubasa|F|54075|54075|2017
PHI|Epps|Marcus|M|53004|53004|2017
HOU|Escalante|Jose|M|53004|53004|2017
NYRB|Escobar|Fidel|D|95000.04|95000.04|2017
KC|Espinoza|Roger|M|850000|850000|2017
NYRB|Etienne|Derrick|M|53000|58000|2017
LAFC|Etim|Monday Bassey|M|53004|53004|2017
SEA|Evans|Brad|D-M|3e+05|338501.25|2017
PHI|Fabinho||D|159759|167759|2017
NE|Fagundez|Diego|M|160000|180000|2017
POR|Farfan|Marco|D|53000|53000|2017
NE|Farrell|Andrew|D|182600|263600|2017
KC|Feilhaber|Benny|M|6e+05|6e+05|2017
KC|Fernandes|Gerso|M-F|550008|591258|2017
CHI|Fernandez|Collin|M|85000|87000|2017
DAL|Ferreira|Jesus|F|53000|53000|2017
DAL|Figueroa|Maynor|D|320000|343333.33|2017
MNUFC|Finlay|Ethan|M|290000|290000|2017
MTL|Fisher|Kyle|D|53004|53004|2017
SEA|Fisher|Oniel|M-D|65625|65625|2017
VAN|Flores|Deybi|M|53000.04|53000.04|2017
PHI|Fontana|Anthony|M|53004|61421.6|2017
COL|Ford|Kortne|D|69996|76996|2017
CLB|Francis|Waylon|D|227500|251875|2017
MTL|Francis|Shaun|D|115000|123333.33|2017
DC|Franklin|Sean|D|258756|283756|2017
SEA|Frei|Stefan|GK|250000|256250|2017
PHI|Gaddis|Raymon|D|165000|167500|2017
HOU|Garcia|Boniek|M|225000|247500|2017
HOU|Garcia|Kevin|D|65633.4|65633.4|2017
LA|Garcia|Rafael|M|82500|82500|2017
ORL|Garcia|Devron|M-F|53004|53004|2017
ATL|Garza|Greg|D|150000|150000|2017
COL|Gashi|Shkelzen|F|1575000|1668750|2017
COL|Gatt|Joshua|M|175008|193508|2017
VAN|Ghazal|Ali|D-M|86799.96|212366.63|2017
COL|Gil|Luis|M|144000|144000|2017
