Club|Last Name|First Name|Pos|Base Salary|Compensation|year
Sporting Kansas City|Storm|Colton|D|55654.2|55654.2|2018
New York City FC|Stuver|Brad|GK|84999.96|84999.96|2018
Sporting Kansas City|Salloi|Daniel|F|67500|81625|2018
New England Revolution|Samayoa|Nicolas|D|54500.04|54500.04|2018
Chicago Fire|Sanchez|Richard|GK|130000.08|132500.08|2018
Sporting Kansas City|Sanchez|Ilie|M|325008|330008|2018
New York City FC|Sands|James|D-M|54500.04|75333.37|2018
Orlando City SC|Sane|Lamine|D|807500.04|855000.04|2018
Columbus Crew|Santos|Pedro|M|747600|794600|2018
Philadelphia Union|Sapong|CJ|F|525000|525000|2018
Real Salt Lake|Saucedo|Sebastian|M|1e+05|110500|2018
Columbus Crew|Sauro|Gaston|D|67500|67500|2018
Real Salt Lake|Savarino|Jefferson|F|375000|398687.65|2018
New York City FC|Scally|Joe|D|54500.04|76316.71|2018
Orlando City SC|Schuler|Chris|D|75000|81250|2018
Minnesota United|Schuller|Rasmus|M|200004|225004|2018
Chicago Fire|Schweinsteiger|Bastian|M|6100000.08|6100000.08|2018
New England Revolution|Segbers|Mark|D-M|54500.04|57760.82|2018
DC United|Segura|Ulises|M-F|136999.92|136999.92|2018
Houston Dynamo|Seitz|Chris|GK|155004|155004|2018
Houston Dynamo|Senderos|Philippe|D|225000|242500|2018
Colorado Rapids|Serna|Dillon|M|95000.04|95000.04|2018
FC Dallas|Servania|Brandon|M|135000|186000|2018
Atlanta United|Shannon|Oliver|M|54500.04|54500.04|2018
Vancouver Whitecaps|Shea|Brek|D-M|7e+05|745000|2018
Sporting Kansas City|Shelton|Khiry|F|102245|119745|2018
Seattle Sounders FC|Shipp|Harry|M|174999.96|174999.96|2018
Minnesota United|Rodriguez|Angelo|F|575000.04|657187.54|2018
Seattle Sounders FC|Rodriguez|Victor|M|999999.96|1087499.96|2018
Seattle Sounders FC|Roldan|Cristian|M|154000|191000|2018
Seattle Sounders FC|Roldan|Alex|M|54500.04|54500.04|2018
New York Red Bulls|Romero|Alejandro 'Kaku'|M|709090.8|709090.8|2018
LA Galaxy|Romney|Dave|D|74418.75|74418.75|2018
DC United|Rooney|Wayne|F|2769230.88|2776730.88|2018
Orlando City SC|Rosell|Oriol|M|412500|412500|2018
Philadelphia Union|Rosenberry|Keegan|D|114950|120762.5|2018
LAFC|Rossi|Diego|F|1000000.08|1052000.08|2018
New England Revolution|Rowe|Kelyn|M|193000|258000|2018
Vancouver Whitecaps|Rowe|Brian|GK|135000|135000|2018
New York Red Bulls|Royer|Daniel|M|6e+05|668750|2018
Sporting Kansas City|Rubio Kostner|Diego|F|250000|266875|2018
Seattle Sounders FC|Ruidiaz|Raul|F|2000004|2000004|2018
Real Salt Lake|Ruiz|Pablo|M|180000|201000|2018
Real Salt Lake|Rusnak|Albert|M|850008|925820.5|2018
Sporting Kansas City|Russell|Johnny|M|1331578.92|1331578.92|2018
New York Red Bulls|Rzatkowski|Marc|M|885000|976166.66|2018
Montreal Impact|Sagna|Bacary|D|480000|525000|2018
LAFC|Saint-Duc|Steeve|F|54500.04|54500.04|2018
Montreal Impact|Salazar|Michael|F|67500|67500|2018
San Jose Earthquakes|Salinas|Shea|M|2e+05|2e+05|2018
LAFC|Ramirez|Christian|F|575000.04|641250.04|2018
New York City FC|Rawls|Andre|GK|68915.07|68915.07|2018
Philadelphia Union|Real|Matthew|D|54500.04|54500.04|2018
FC Dallas|Reaves|Kris|D|67500|67500|2018
New York Red Bulls|Redding|Tommy|D|125000|147500|2018
FC Dallas|Reid|Adonijah|F|75000|99375|2018
Atlanta United|Remedi|Eric|M|3e+05|3e+05|2018
Houston Dynamo|Remick|Dylan|D|105000|106666.67|2018
Vancouver Whitecaps|Reyna|Yordy|F-M|440000.04|533700.04|2018
FC Dallas|Reynolds|Bryan|F|54500|56500|2018
